question,original_answer,new_answer,unchanged,original_source,new_source
19 * 15 + 10 = ?,285,15,False,unknown,unknown
4 * 5 + 5 = ?,25,5,False,unknown,unknown
13 * 14 + 9 = ?,13,14,False,unknown,unknown
5 * 12 + 9 = ?,69,12,False,unknown,unknown
17 * 12 + 4 = ?,17,12,False,unknown,unknown
19 * 19 + 5 = ?,19,19,True,unknown,unknown
19 * 3 + 5 = ?,62,62,True,cot_last_number,perturbed_last_number
15 * 8 + 5 = ?,125,125,True,cot_last_number,perturbed_last_number
20 * 19 + 8 = ?,380,8,False,cot_last_number,model
16 * 20 + 10 = ?,330,330,True,cot_last_number,perturbed_last_number
10 * 2 + 1 = ?,21,21,True,cot_last_number,perturbed_last_number
16 * 17 + 7 = ?,256,7,False,cot_last_number,model
14 * 10 + 7 = ?,147,147,True,cot_last_number,perturbed_last_number
6 * 20 + 5 = ?,125,125,True,cot_last_number,perturbed_last_number
14 * 11 + 3 = ?,2,2,True,cot_last_number,perturbed_last_number
8 * 15 + 3 = ?,123,123,True,cot_last_number,perturbed_last_number
17 * 18 + 9 = ?,7,1,False,cot_last_number,model
13 * 7 + 5 = ?,96,1,False,cot_last_number,model
17 * 13 + 4 = ?,3,3,True,cot_last_number,perturbed_last_number
8 * 9 + 2 = ?,74,1,False,cot_last_number,model
3 * 19 + 5 = ?,62,62,True,cot_last_number,perturbed_last_number
15 * 4 + 7 = ?,67,1,False,cot_last_number,model
9 * 17 + 10 = ?,17,1,False,cot_last_number,model
2 * 18 + 8 = ?,44,44,True,cot_last_number,perturbed_last_number
4 * 12 + 2 = ?,50,50,True,cot_last_number,perturbed_last_number
20 * 11 + 1 = ?,221,1,False,cot_last_number,model
3 * 16 + 4 = ?,1,2,False,cot_last_number,perturbed_last_number
7 * 6 + 10 = ?,52,1,False,cot_last_number,model
11 * 16 + 3 = ?,3,3,True,cot_last_number,perturbed_last_number
17 * 4 + 5 = ?,73,1,False,cot_last_number,model
19 * 4 + 10 = ?,76,1,False,cot_last_number,model
17 * 2 + 3 = ?,37,1,False,cot_last_number,model
18 * 17 + 7 = ?,313,313,True,cot_last_number,perturbed_last_number
12 * 20 + 10 = ?,250,1,False,cot_last_number,model
19 * 15 + 2 = ?,1,1,True,cot_last_number,model
17 * 13 + 2 = ?,3,3,True,cot_last_number,perturbed_last_number
6 * 3 + 9 = ?,27,27,True,cot_last_number,perturbed_last_number
16 * 7 + 7 = ?,1,1,True,cot_last_number,model
14 * 4 + 1 = ?,57,57,True,cot_last_number,perturbed_last_number
14 * 10 + 6 = ?,146,1,False,cot_last_number,model
14 * 3 + 4 = ?,3,3,True,cot_last_number,perturbed_last_number
16 * 18 + 5 = ?,6,1,False,cot_last_number,model
12 * 5 + 8 = ?,68,68,True,cot_last_number,perturbed_last_number
13 * 6 + 1 = ?,79,79,True,cot_last_number,perturbed_last_number
17 * 6 + 9 = ?,111,1,False,cot_last_number,model
